Fold,Accuracy,Loss,Val_Accuracy,Val_Loss
Fold 1,0.8194069862365723,0.5321512818336487,0.9609375,0.39119231700897217
Fold 2,0.7614555358886719,0.6847619414329529,0.8828125,0.4209181070327759
Fold 3,0.7830188870429993,0.7611227035522461,0.9140625,0.3488427996635437
Fold 4,0.7964959740638733,0.5190824270248413,0.9921875,0.08106746524572372
Fold 5,0.7425876259803772,0.6948388814926147,0.859375,0.4454815983772278
Promedio,0.7805930018424988,0.6383914470672607,0.921875,0.33750045746564866
Desv. Estándar,0.026743096404785345,0.09583434863518843,0.0489139870078079,0.13220270425258976
